102.003 0.436203 0.150191 0.15308 0.0498777
103.002 0.428494 0.151469 0.569938 0.0448494
104.006 0.419686 0.153477 0.379176 0.0372353
105.002 0.412065 0.155936 0.367009 0.0279199
106.006 0.407052 0.158359 -2.68776 0.017603
107.001 0.405625 0.160277 0.529856 0.00742676
108.005 0.408283 0.161302 -0.167629 -0.00179947
109.003 0.41579 0.161162 3.05559 -0.00912932
110.009 0.429026 0.160045 -0.152213 -0.0141201
111.002 0.447547 0.158488 -0.11748 -0.0163403
